Authors,Text,Title,Url,published_date
Louis Casiano,"A group of Norman, Okla., residents have launched a recall effort to oust the city's mayor and half the City Council over budget cuts to the police department and her order that people wear masks in public to prevent the spread of the coronavirus.

The group ""Unite Norman"" was borne out of frustration with a June 17 City Council vote to divert $865,000 -- or 3.6 percent -- of police funds to community development programs to track police overtime and to fund an internal auditor position. The vote was taken after a contentious 11-hour meeting held amid nationwide protests over the death of George Floyd and calls to reign in police misconduct.

In a series of tweets, Mayor Breea Clark called the grounds for the recall alleged in the petition ""false and baseless.""

Four of Norman's eight City Council members being targeted are Ward 1 representative Kate Bierman, Ward 3 representative Alison Petrone, Ward 5 representative Sereta Wilson and Ward 7 representative Stephen Holman.

The group says it has a bipartisan agenda with the goal of removing ""divisive and radical figures"" in an effort to ""to return Norman to the center politically,"" according to its Facebook page.

""We are trying to get rid of radicals,"" group member Russell Smith told KWTV-DT. ""This has nothing to do with Democrat or Republican, left or right. We want to center the ship here in Norman.""

Group members were also upset with Clark's decision to mandate the wearing of masks following an uptick in coronavirus cases. She was further criticized for keeping some businesses and houses of worship closed.

CLICK HERE TO GET THE FOX NEWS APP

As of Friday, Norman, the third-largest city in the state, reported 637 COVID-19 cases and 23 deaths.

The petition to oust Clark would require the collecting of at least 18,125 signatures -- or 25 percent of registered voters to move forward, The Oklahoman reported. Signatures to oust the councilmembers would require significantly less since they represent portions of the city.

The Associated Press contributed to this report.","Oklahoma pro-police group launches petition to oust Norman mayor, council for cutting funding",https://www.foxnews.com/us/oklahoma-pro-police-group-launches-petition-to-oust-norman-mayor-council-for-cutting-funding,2020-07-10
Joshua Nelson,"Goya Foods President and CEO Bob Unanue said on Friday that he is not backing down in the face of a boycott over his visit to the White House.

“We were part of a commission called the White House Hispanic Prosperity Initiative and they called on us to be there to see how we could help opportunities within the economic and educational realm for prosperity among Hispanics and among the United States,” Unanue told ""Fox & Friends.""

Unanue said that the United States is the second-largest Hispanic country in the world behind Mexico.

GOYA PRESIDENT: SALES 'QUADRUPLED' AMID CORONAVIRUS DEMAND

Politicians and celebrities are boycotting Goya, the largest Hispanic-owned food company in the country, after its CEO, Robert Unanue, praised President Donald Trump during an event Thursday at the White House.

""We're all truly blessed at the same time to have a leader like President Trump, who is a builder,"" said Unanue, who is of Spanish descent, at the event.

Trump hosted Hispanic leaders at the White House on Thursday and signed an executive order on the White House Hispanic Prosperity Initiative to use more taxpayer support for private and charter schools and “improve access by Hispanic Americans to education and economic opportunities.”

Critics like Rep. Alexandria-Ocasio Cortez, D-N.Y., former Democratic presidential candidate Julian Castro of Texas and a number of celebrities took aim at the company on social media with hashtags like #BoycottGoya and #GOYAWAY. Many urged people who use Goya products to start buying similar foods and condiments produced by the company's competitors.

CLICK HERE FOR THE FOX NEWS APP

Unanue called the pushback against him visiting the White House “suppression of speech.” Unanue said that he was previously invited to the White House for an event hosted by the Obama administration for Hispanic Heritage Month.

“So, you’re allowed to talk good or to praise one president, but you’re not allowed to aid in economic and educational prosperity? And you make a positive comment and all of a sudden, it is not acceptable,” Unanue said.

Unanue said he is not apologizing for his remarks supporting Trump's economic policy and would not turn down other future invitations.

“I didn’t say that to the Obamas and I didn’t say that to President Trump.”","Goya Foods CEO won't apologize in face of boycott, backlash for pro-Trump remarks: 'Suppression of speech'",https://www.foxnews.com/media/goya-boycott-trump-praise-ceo-fox-friends,2020-07-10
Brie Stimson,"Sports leagues and players have turned racial justice issues into a “circus” by focusing more on who’s kneeling or what message is written on players’ jerseys rather than real change, basketball Hall of Famer Charles Barkley said Friday.

“I think we’re missing the point,” the former 76ers, Suns and Rockets star told CNBC. “We need police reform, we need prison reform. ... My concern is turning this into a circus instead of trying to do some good stuff.”

""My concern is turning this into a circus instead of trying to do some good stuff."" — Charles Barkley

The media contributes to the ""circus"" by focusing on kneeling and messages on buses and jerseys, he added.

What the country really needs, he said, was ""good cops out here policing the bad cops.""

He pointed out that while the U.S. is a divided country, ""sports used to be a place where fans could go get away from reality.""

CHARLES BARKLEY: 'CATASTROPHIC MISTAKE' IF NBA CANCELS REST OF SEASON OVER CORONAVIRUS

And as fans financially struggle during the coronavirus pandemic, “they don’t want to see a bunch of rich people” constantly talking about social justice issues, he said.

As more players have started to kneel for the national anthem amid Black Lives Matter protests that have swept the country, NBA players will be allowed to have anti-racism messages on the backs of their jerseys, CNBC reported.

But Barkley was skeptical about how fans will respond as NBA and other games resume this summer.

“The last thing they want to do is turn on the television and hear arguments all the time. It’s going to be very interesting to see how the public reacts,"" he said.

“The last thing [sports fans] want to do is turn on the television and hear arguments all the time. It’s going to be very interesting to see how the public reacts."" — Charles Barkley

On the coronavirus, Barkley said, “you’d have to be a fool” to think children would be safe in a classroom, adding that it’s not fair to put kids in that situation -- at least until there’s a vaccine.

He added, however, that keeping kids out of school would ""magnify"" the disparity between rich and poor kids because disadvantaged children don't always have the resources such as internet to continue their education remotely.

He added that he hopes NBA games can go forward soon because the economic loss if games are canceled would be so great.

CLICK HERE TO GET THE FOX NEWS APP

""This is a critical time in our country,” he added. “I just hope we get some adults who know what they are doing and stop screwing around and dividing our country.”",Charles Barkley says sports becoming woke 'circus' -- with no real results,https://www.foxnews.com/sports/charles-barkley-says-sports-becoming-woke-circus-with-no-real-results,2020-07-10
Dom Calicchio,"Lyda Krewson, the embattled mayor of St. Louis -- who has faced repeated protests over the past two weeks -- won’t be stepping down anytime soon, her spokesman said Friday.

Communication Director Jacob Long issued the statement Friday morning, after work crews were seen trying to remove the message “RESIGN LYDA RESIGN,” which had been painted in the street outside City Hall overnight between Thursday and Friday, according to reports.

“Mayor Krewson is not distracted by any of this and remains focused on what she was elected to do: addressing the needs of more than 300,000 St. Louisans who are counting on her to help get them through multiple public health and economic crises, including a worldwide pandemic,” Long said, according to KSDK-TV of St. Louis.

Also Friday morning, police cleared an ""Occupy City Hall STL"" camp that gathered outside the building, The Riverfront Times reported. Protesters had planned to stay until Krewson stepped down, the report said.

Krewson, 66, a Democrat and native of Iowa who has been mayor of St. Louis since April 2017, has been under fire since a Facebook Live briefing in late June, when she read the names and partial addresses of at least 10 protesters who called for the city to defund the police.

The mayor later apologized for reading the information and for causing “distress or harm to anyone,” but also noted the names and addresses were already “public information.”

CLICK HERE TO GET THE FOX NEWS APP

A group of protesters who claimed to be heading to Krewson’s home June 28 prompted St. Louis couple Mark and Patricia McCloskey to take up arms that day, fearing damage to their property as the protesters passed by.

The couple has been the subject of an investigation since then, and on Friday night had one of their weapons seized by authorities executing a search warrant at their home, KSDK reported.

It wasn’t immediately clear if the McCloskeys were charged with any crimes.

Fox News' Danielle Wallace contributed to this story.","St. Louis mayor won’t quit, office says, after ‘RESIGN LYDA RESIGN’ painted near City Hall",https://www.foxnews.com/politics/st-louis-mayor-wont-quit-office-says-after-resign-lyda-resign-painted-near-city-hall,2020-07-10
Victor Garcia,"Trump 2020 campaign national press secretary Hogan Gidley told ""Hannity"" Friday that the president's decision to commute former associate Roger Stone's prison sentence was ""a good move.""

""Listen, so many people, so many good people, were caught up in this Russian hoax,"" Gidley told guest host Jason Chaffetz. ""And this was perpetrated by overzealous Democrats, partisan hacks trying to take down a president.

""We now know the campaign was spied upon, wiretapped, authorized by the previous administration,"" he added. ""We wouldn't know, if Donald Trump hadn't been elected, that [former FBI Director James] Comey and [former Director of National Intelligence James] Clapper and [ former CIA Director John] Brennan were all lying in front of Congress.

""And in other ways, we wouldn't know the names Lisa Page and Peter Strzok, the two lovers that conspired to take down a president with an insurance policy,"" Gidley went on. ""We wouldn't know any of that had Donald Trump not been elected.

BIDEN PUSHES POPULIST 'MADE IN AMERICA' PLAN TO PUMP UP ECONOMY

""Now we do, and I think the president's doing the right thing by trying to right some of the wrongs of the partisanship of the past,"" Gidley concluded.

The White House announced Friday evening that Trump had commuted the ""unjust sentence"" of Stone, just days before the longtime political operative was slated to report to prison to serve more than three years for charges stemming from former Special Counsel Robert Mueller’s investigation.

Gidley also discussed Trump's claim that presumptive Democratic nominee Joe Biden “plagiarized” parts of his economic plan from the president, hinting at past accusations that have dogged the former vice president.

""He plagiarized a couple of words from the president's past, but he's plagiarizing the policies from socialists like Bernie Sanders and [Alexandria Ocasio-Cortez] and Ilhan Omar, Rashida Tlaib, Elizabeth Warren,"" Gidley said. ""His policies are going to be so detrimental to this country.""

""We don't have to guess what a Biden economy looks like,"" the press secretary went on. ""We just lived through it for the past eight years, 850,000 jobs lost just from NAFTA alone, 70,000 manufacturing plants closed. Millions of jobs lost because of his relationship with China, because of his defense of China.

CLICK HERE TO GET THE FOX NEWS APP

""We also don't have to guess how our cities and streets would look if Joe Biden were president,"" Gidley added. ""We saw rioters and looters drag innocent Americans just trying to defend their businesses out into the streets, beat them within an inch of their lives, left to lie in a pool of their own blood.

""Joe Biden said nothing when churches were burned, when stores were looted ... He said nothing about that. So you don't have to guess what would happen in this country. We've already seen it happen.""

Fox News' Brooke Singman, John Roberts and Adam Shaw contributed to this report.",Trump 2020 spokesman says Roger Stone commutation done to correct the 'partisanship of the past',https://www.foxnews.com/media/trump-2020-campaign-hogan-gidley-roger-stone,2020-07-10
Nick Givas,"A surge of coronavirus cases in Florida has maxed out dozens of intensive care units (ICUs) at hospitals around the state, following an attempt by local officials to institute a phased reopening of the economy.

Over 40 hospitals are now hitting their limit with regard to ICU capacity, according to a CNBC News report.

This news comes on the same day that Florida reportedly announced its second-highest one-day COVID-19 infection rate.

“We’re putting ourselves at risk and other people aren’t willing to do anything and in fact go the other way and be aggressive to promote the disease,” Dr. Andrew Pastewski, who serves as ICU medical director at Jackson South Medical Center, told Reuters. ""It’s just disheartening.""

Palm Beach County school board member Marcia Andrews told the Palm Beach Post that local officials are ill-equipped to handle the current uptick in confirmed cases and were caught flat-footed by the resurgence.

SOME COVID PATIENTS WON'T RECOVER SENSE OF TASTE, SMELL, STUDY FINDS

“We’re truly not ready,” she said. “We’re not ready from a health standpoint. And we’re not ready from a planning standpoint.”

Florida health officials announced on Sunday that more than 200,000 people in the state had tested positive for COVID-19 since the start of the pandemic.

President Trump has maintained, however, that as testing capabilities increase numbers may seemingly spike, but most patients will still make a full recovery or remain asymptomatic.

Gov. Ron DeSantis, a Republican, said earlier this week that he believed the state has “stabilized” but that he would still like to see the numbers get back to where they were in May and early June.

CLICK HERE TO GET THE FOX NEWS APP

""There's no need to be fearful,"" he added.

Cases have surged in other states across the U.S., including Arizona, Texas and California. There are now over 3 million confirmed coronavirus cases nationwide and over 133,00 deaths.

Fox News' Bradford Betz and Caitlin McFall contributed to this report","In Florida, over 40 hospitals max out ICU capacity amid coronavirus surge",https://www.foxnews.com/us/florida-hospitals-max-out-icu-coronavirus,2020-07-10
Adam Shaw,"President Trump on Friday, in a roundtable meeting with Venezuelan expatriates in Florida, took aim at Democrats -- calling them “the party of socialism and worse” as he seeks to draw a distinction on issues such as funding law enforcement and tearing down statues.

“Republicans are the party of freedom, Democrats are the party of socialism and worse,” he said.

TRUMP ACCUSES BIDEN OF 'PLAGIARIZING' HIM OVER 'BUY AMERICAN' PUSH

Speaking to Venezuelan nationals who fled the socialist regime of dictator Nicolas Maduro, Trump then described presumptive Democratic nominee Joe Biden as a “puppet” being used by radical left-wing activists who want to tear down statues of historic figures and who want to impose socialism.

“Now Joe Biden and the radical left are trying to impose the same system -- socialism plus -- in America,” he said. ""Biden is a puppet of Bernie Sanders, AOC, the militant left, people who want to rip down statues and monuments to George Washington, Thomas Jefferson, Benjamin Franklin, Jesus.""

It comes as Trump has sought to draw a contrast between himself and former Vice President Biden and the Democrats on cultural and social questions that have been part of a fiery debate in recent weeks -- such as whether to tear down statues of past American leaders, and about defunding police departments.

Trump accused Biden--the presumptive Democratic presidential nominee--of having been part of the Obama administration’s “pro-communist” policies in relation to Cuba's Castro regime. Trump said that if elected, Biden would leave Americans at the mercy of a “socialist mob” at home.

“Biden wants to defund the police, he wants to call the cops the enemy which he did the other day, leaving every citizen at the mercy of a socialist mob, or a mob far worse than socialism was ever meant to be,” he said.

It comes as numerous polls continue to show Trump down against Biden both nationally and in swing states, having suffered a sharp decline over his handling of the coronavirus crisis that originated in China and hit the U.S. in March -- shutting down the economy.

BIDEN SAYS SOME FUNDING SHOULD 'ABSOLUTELY' BE REDIRECTED FROM POLICE

Since then, he has seen numbers drop further amid the protests and riots that broke out in the wake of the death of George Floyd, a Black man who died May 25 while in the custody of Minneapolis police.

But in recent weeks Trump has taken a tough stance on the efforts by left-wing groups to tear down statues and defund police, tapping into a focus on law and order which he used in his 2016 campaign.

Biden has not backed the more radical demands of the left, although he has supported calls for police reforms and this week said that some funding should ""absolutely"" be directed away from the police. But the Trump campaign has claimed that a Biden administration would give in to the demands of radicals.

Earlier, Trump had taken a tough line on law enforcement after receiving a briefing from U.S. Southern Command on the fight against narcotic smuggling.

CLICK HERE TO GET THE FOX NEWS APP

“I will not have open borders. We will not abolish the police. And we will not slash the budgets for our military,” he said.

Trump was due to attend a fundraising event later in the day before moving to New Hampshire for a political rally -- but the campaign announced that the event would be canceled due to an impending tropical storm.

Fox News' Morgan Phillips and the Associated Press contributed to this report.",Trump declares Democrats ‘party of socialism and worse’ during trip to Florida,https://www.foxnews.com/politics/trump-dems-party-of-socialism-and-worse-florida,2020-07-10
Victor Garcia,"White House chief economic adviser Larry Kudlow told ""Bill Hemmer Reports"" Friday that schools have to reopen for in-person classes this fall because many parents can't work if their children have to learn at home.

""There's really no substitute for in-person schooling. I think all the experts agree with that. And also, look, the parents, what are they going to do?"" Kudlow told host Bill Hemmer. ""I mean, you talk to a single working mom, she's got to send her kid to school because if the kids at home, she can't go to work. She may not be able to afford help. It's also true with, you know, working folks who are ... two-person families. And I think that's an important part of this.

TRUMP, IN PUSH TO REOPEN SCHOOLS AMID CORONAVIRUS, VOWS 'PRESSURE' ON GOVERNORS

""There's an economic component but there's a kids component for education and social development,"" Kudlow added.

President Trump continued his push for schools across America to reopen by slamming “virtual learning” and claiming it has “proven to be terrible."" He also repeated his threat to withhold federal funding from school districts that keep students at home in the fall.

""If you want not only education, but if you want every business to reopen and stay open, if you want folks to go back to work and we have big job creation, if you want to rebuild the economic health and prosperity we had, there are four things every citizen should do, particularly those in the hot spots,"" Kudlow said.

""Number one, face cover. Number two, distancing. Number three, testing. And number four, personal hygiene. Those are the things that will beat the virus, as we did it last winter, and allow the economy to function as the great American machine it has.""

CLICK HERE TO GET THE FOX NEWS APP

The economic adviser added that ""you've got to take the mitigation efforts and guidelines that worked in March and April and allowed us to open up the economy.""

Hemmer pressed Kudlow on his guidance, with the host saying he had not heard the message that everyone wear a facemask and social distance. Kudlow answered that his prescription had been in deference to the Centers for Disease Control and Prevention coronavirus guidelines.

""I don't think we've wavered on that message at all,"" Kudlow said.

Fox News' Brooke Singman contributed to this report.","Kudlow lays out 'four things every citizen should do' to ensure schools, businesses stay open",https://www.foxnews.com/media/larry-kudlow-four-things-keep-america-open,2020-07-10
Charles Creitz,"Somalia-born human rights activist Ayaan Hirsi Ali criticized Rep. Ilhan Omar, D-Minn., Friday over recent comments in which the lawmaker called for ""dismantling the whole system of oppression wherever we find it.""

In remarks this week, Omar -- who was also born in Somalia -- specifically called out America's political and economic systems, which she said ""prioritize profit without considering who is profiting [and] who is being shut out"".

""She's in Congress -- the United States Congress,"" Ali told ""The Daily Briefing"" host Dana Perino, ""and she is saying 'Why don't we dismantle the whole thing?' ... It makes you wonder.""

""Why flee from Mogadishu, why flee from anarchy, why flee from oppression -- and then come to the United States and do all your best to turn Minnesota and the U.S. into Mogadishu?"" Ali continued. ""It's one of the things I’d like to ask her.""

Ali, who fled to The Netherlands from Somalia in the early 1990s and became an American citizen in 2013, told Perino that Omar should recognize that no nation is more free and less systemically discriminatory than the United States.

CLICK HERE TO GET THE FOX NEWS APP

""I don’t think we need a revolution, I think what we have -- the American Declaration [of Independence], the American Constitution, American values -- our system gives us the tools to address social injustice, to address inequality, to address all the issues we face,"" she said. ""And I think these movements -- and Ilhan is just one of these people symbolizing that -- I think we need to resist and to say, 'Look, you've come to America in search of freedom, you've come to America in search of equality, we find it here. Our system is not perfect, we can fix it and we do it through conversations.'

""What we are seeing,"" Ali added, ""is a very loud minority who is saying 'Let us not seek solutions to the system we have, but let’s dismantle it' and I am passionately against it.""","Ayaan Hirsi Ali blasts Ilhan Omar over call to remake US, says 'I don't think we need a revolution'",https://www.foxnews.com/media/ayaan-hirsi-ali-ilhan-omar-no-revolution,2020-07-10
Joshua Nelson,"A New York City store owner is suing Gov. Andrew Cuomo, accusing state and city leaders of failing to send in law enforcement to respond to the rioting that happened during recent protests, according to the attorney handling the case.

The lawsuit, filed on behalf of Domus Design Center, an interior design business located on Madison Avenue in Manhattan, also names Mayor Bill de Blasio and NYPD Commissioner Dermot Shea as co-defendants.

“Basically, the city and state government owe a duty to the individual storefronts to protect them,"" attorney Sal Strazzullo said Friday on “Fox & Friends.”

""My law firm believes [that] through depositions, through discovery we’re going to be able to find that the city or state had intelligence in regards to these criminals that looted these stores and didn’t do anything about it,” he added.

Strazzullo continued, “The lackeys that are politically appointed in the NYPD probably were told to stand down and basically it is a travesty.""

He added that he believes more businesses will join as plaintiffs to make it a class-action lawsuit, seeking more than $100 million in damages.

LEADER OF FERGUSON LAW ENFORCEMENT RESPONSE CALLS FOR 'IN-DEPTH,' 'REAL CONVERSATIONS' ABOUT RACE AND POLICING

The NYPD Lieutenants Benevolent Association on Tuesday slammed New York Gov. Andrew Cuomo and other leaders for labeling the department “incompetent” and siding with “peaceful protesters,” despite a video showing a protester hitting a lieutenant on the back of his head with a brick amid riots and looting sparked by the death of George Floyd.

In a letter sent to NYPD lieutenants and obtained by Fox News, association president Lou Turco said politicians have been blaming law enforcement for “all the societal ills realistically created by their misdirected and hollow civic policies” while officers are being attacked.

The letter took direct aim to Cuomo, with Turco writing: ""How dare you call the members of the NYPD incompetent, when it is your misguided policies that have created an environment where police cannot police and you provide additional incentives to those who want to destroy society and commit crimes against people, law enforcement and property.""

The NYPD Police Benevolent Association (PBA) later released a video clip of the lieutenant getting hit, which it claimed preceded the officer drawing his gun on the crowd.

CLICK HERE FOR THE FOX NEWS APP

Strazzullo said he has heard of other businesses who would want to join in on the lawsuit.

“The past three-four days since after we filed the lawsuit, other general counsels … I’m not going to name any names at the moment because they have not been retained have reached out,” Strazzullo said.

“Of course the city and state owe us a duty, this is why we pay our real estate taxes that go to the NYPD, that go to the state troopers. Where were the state troopers?” Strazzullo said.

“I don’t know if you drive around the city or walk around the city, New York state troopers are giving out tickets for like seatbelts and for noncriminal things. They’re all over. When the looting happened, where were they?”","NYC store owner suing Gov. Cuomo over looting damage, says cops were told to 'stand down'",https://www.foxnews.com/media/nyc-store-owner-suing-cuomo-de-blasio-looting,2020-07-10
